title,title_furigana,title_en
太平洋Xポイント,たいへいようえっくすぽいんと,Tiheiyou X point
大砲とスタンプ,たいほうとすたんぷ,Guns and Stamps
逮捕しちゃうぞ,たいほしちゃうぞ,You are Under Arrest
タイホしてみ〜な!,たいほしてみーな,Taiho shite Mina
大魔神カノン,だいまじんかのん,Daimajin Kanon
対魔導学園35試験小隊,たいまどうがくえん さんじゅうごしけんしょうたい,VS Magic Academy 35 Platoon
大魔法峠,だいまほうとうげ,Daimahoutouge
タイマンゴルファー勝,たいまんごるふぁーかつ,Taiman Golfer Katsu
格闘料理人ムサシ (タイマン料理人ムサシ),たいまんりょうりにんむさし,Battle Chef Musashi
タイムウォーカー零,たいむうぉーかーぜろ,TIME WALKER ZERO
タイムスキップ真央ちゃん,たいむすきっぷまおちゃん,Time skip Mao chan
たいむSKIPラン,たいむすきっぷらん,Time Skip Run
タイムスクーター,TIME SCOOTER,
時空異邦人KYOKO,たいむすとれんじゃーきょーこ,Time Stranger KYOKO
T・Pぼん,たいむぱとろーるぼん,Time-Patrol Bon
ダイモス (横山光輝版),Deimos : Yokoyama Mitsuteru,
Damons(ダイモンズ),だいもんず,Damons
ダイヤのA(エース),だいやのえーす,Ace of diamond
ダイヤのA act2,だいやのえーす あくと2,Ace of diamond Act 2
ダイヤのB!! 青道高校吹奏楽部,だいやのぶらす せいどうこうこうすいそうがくぶ,Brass of diamond
DIAMOND - ダイヤモンド -,だいやもんど,DIAMOND
太陽が見ている(かもしれないから),たいようがみているかもしれないから,Taiyou ga miteiru kamo shirenaikara
太陽犬ゼロ,たいようけんぜろ,Taiyouken Zero
太陽少年ジャンゴ,たいようしょうねんじゃんご,Taiyo Shonen Jango
太陽にスマッシュ!,たいようにすまっしゅ,Taiyou ni smash!
たいようのいえ,Taiyou no Ie,
太陽の牙ダグラム(岡崎優版),たいようのきばだぐらむ おかざきゆうばん,TASK OF SUN DUGLAM (OKAZAKI YUU)
太陽の牙ダグラム(森藤よしひろ版),たいようのきばだぐらむ もりふじよしひろばん,TASK OF SUN DUGLAM
太陽の戦士ポカポカ,たいようのせんしぽかぽか,Taiyou no senshi Pokapoka
たいようのマキバオー,Taiyou No Makibaou,
太陽の黙示録,たいようのもくしろく,Taiyou no mokusiroku
だいらんど,Dieland,
タイルの水,たいるのみず,The water on the tiles
第六天魔王信長,だいろくてんまおうのぶなが,Dairoku Tenmaou Nobunaga
ダイン・フリークス,D.Y.N.Freaks (Dain freaks),
ダーウィンズゲーム,Darwin's Game,
Doubt -ダウト-,だうと,Doubt
たおせ カラオケ番長!!,たおせからおけばんちょう,TAOSE KARAOKE BANCHOU
タオの緑(グリーン),たおのぐりーん,Tao's Green
タオの城,たおのしろ,Tao's Castle
だかあぽ,Da capo,
高尾の天狗と脱・ハイヒール,たかおのてんぐとだつはいひーる,Takao no tengu to datsu high heels
たかされ,Taka-Sare,
DARKER THAN BLACK -黒の契約者-,だーかーざんぶらっく くろのけいやくしゃ,Darker than black - Kuro no Keiyakusha -
DARKER THAN BLACK -漆黒の花-,だーかーざんぶらっく しっこくのはな,DARKER THAN BLACK -Shikkoku no Hana-
だがしかし,Dagashikashi,
DAGASY 放課後超能力戦争,だがしー ほうかごちょうのうりょくせんそう,DAGASY
高杉刑事キバリます!,たかすぎけいじきばります,Takasugi Keiji Kibarimasu!
高杉さん家のおべんとう,たかすぎさんちのおべんとう,Takasugi-san Chi no Obentou
高遠少年の事件簿,たかとおしょうねんのじけんぼ,Takatoo shounen no jikenbo
高梨さん,たかなしさん,Takanashi san
タカネの花,たかねのはな,Takanenohana
