title,title_furigana,title_en
龍ヶ嬢七々々の埋蔵金,りゅうがじょうなななのまいぞうきん,Nanana's Buried Treasure (Ryugajou Nanana no Maizoukin)
リュウグウノツカイ,Ryuuguunotsukai,
龍虎の拳,りゅうこのけん,Art of Fighting (Ryu ko no ken)
龍虎の拳〔コミックボンボン版〕,りゅうこのけん こみっくぼんぼんばん,Ryuko no Ken Ver Comic Bonbon
龍崎さんと虎生さん 〜百合姫短編集〜,りゅうざきさんととらおさん,Ryuuzaki-san to Torao-san
龍女生徒会っす!,りゅうじょせいとかいっす,Ryujo seitokaissu!
竜神伝説,りゅうじんでんせつ,Ryujin Densetsu
琉神マブヤー,りゅうじんまぶやー,Ryujin Mabuya
龍帥の翼 史記・留侯世家異伝,りゅうすいのつばさ しき ろこうせいけいでん,Ryuusui no tsubasa shiki rukouseikeiden
流星王子,りゅうせいおうじ,Ryuusei ouji
流星機ガクセイバー,りゅうせいきがくせいばー,Shooting Star Gakusaver
流星超人ズバーン,りゅうせいちょうじんずばーん,RYUSEICHOJIN ZUVARN
流星人間ズバーン,りゅうせいにんげんずばあん,Ryuseiningen Zuban
流星人間ゾーン,りゅうせいにんげんぞーん,Ryuusei ningen Zone
流星のストライカー,りゅうせいのすとらいかー,Ryusei No Striker
流星のロックマン,りゅうせいのろっくまん,Ryusei no Rokkuman
竜蹄の門,りゅうていのもん,Ryuutei no Mon
龍天寺夫妻の生活,りゅうてんじふさいのせいかつ,Ryutenji Fusai no Seikatsu
竜童のシグ,りゅうどうのしぐ,Ryuudou no SHIGU
竜の学校は山の上 九井諒子作品集,りゅうのがっこうはやまのうえ くいりょうこさくひんしゅう,The School of Dragon on the Hill
竜のかわいい七つの子 九井諒子作品集,りゅうのかわいいななつのこ くいりょうこさくひんしゅう,Seven Little Sons of the Dragon
竜の翼に君をのせて!,りゅうのつばさにきみをのせて,I'll take you on my dragon wings!
竜の眠る星,りゅうのねむるほし,The planet with sleeping dragon (Ryu-no nemuru hoshi)
龍の花わずらい,りゅうのはなわずらい,Dragon flower
リュウの道,りゅうのみち,Ryuu no michi
竜は黄昏の夢をみる,りゅうはたそがれのゆめをみる,The dragon dreams of the dusk
RYU FINAL,りゅうふぁいなる,Ryu final
リュウマのガゴウ,Ryuuma no Gagou,
龍狼伝,りゅうろうでん,Ryuroden
龍-RON-,りゅう ろん,Ryu RON
リューシカ・リューシカ,Ryu-shika Ryu-shika,
リョウ,Ryou,
両想いなんて冗談じゃない!!,りょうおもいなんてじょうだんじゃない,Ryouomoi Nante Joudan ja Nai
RYOKO,りょうこ,RYOKO
陵子の心霊事件簿,りょうこのしんれいじけんぼ,Ryoko no Shinrei Jikenbo
寮長は料理上手,りょうちょうはりょうりじょうず,Ryouchou wa ryouri jouzu
リョウの朝ごはん,りょうのあさごはん,Ryo no asagohan
龍馬へ,りょうまへ,To RYOHMA
緑野原学園(シリーズ),りょくのはらがくえんしりーず,RyokunoharaGakuen
Rewrite 〜OKA☆KENぶろぐ〜,りらいと おかけんぶろぐ,Rewrite OKAKEN-BLOG
Rewrite オカ研へようこそ!,りらいと おかけんへようこそ,Rewrite Okaken e youkoso!
Rewrite:SIDE-R,りらいと さいどあーる,Rewrite:SIDE-R
Rewrite:SIDE-B,りらいとさいどびー,Rewrite:SIDE-B
ReLIFE,りらいふ,ReLIFE
リリィ,Lily,
LiLy リリィ(えびさわまよ版),りりい えびさわまよばん,LiLy(2016)
リリウムあんさんぶる,Lilium Ensemble,
リリカル忍伝すっぱだもん!,りりかるにんでんすっぱだもん,Lyrical ninden Suppa damon
RELEASE (リリース),りりーす,Release
ReReハロ,りりはろ,ReReHaro
りりむキッス,Ririmu Kiss,
リルぷりっ,Lilpri,
リルリーン紀譚,りるりーんきたん,A romance of Rilren
Re:ロード,りろーど,Re load
RIN(新井英樹),りんあらいひでき,RIN (Hideki Arai)
リンガフランカ,Lingua franca,
臨機応変マン,りんきおうへんまん,Rinkiouhenman
RING,りんぐ,Ring
リング(永井幸二郎版),"Ring Ver,Cimic",
リングにかけろ,Ringu Ni Kakero,
リングにかけろ2,りんぐにかけろ2,Ringu Ni Kakero 2
リンクの冒険 (未将崎雄版),りんくのぼうけん みしょうざきゆうばん,Zelda2 The Adventure of Link: by Misyouzaki Yu
リンクの冒険 (乱丸版),りんくのぼうけん らんまるばん,Zelda2 Adventure of Link: by Ranmaru
リンケージ,Linkage,
林檎でダイエット,りんごでだいえっと,Ringo de daietto
臨死!!江古田ちゃん,りんし えごたちゃん,Rinshi!!Egota-chan
臨床犯罪学者・火村英生のフィールドノート,りんしょうはんざいがくしゃひむらひでおのふぃーるどのーと,Rinsyou Hanzai Gakusya Himura Hideo No Field Notes
隣人13号,りんじん13ごう,Rinjin13gou
隣人を妹(まい)せよ!,りんじんをまいせよ,Love your sister! (Rinjin o maiseyo)
りんちゃんクッキーのひみつ(りんりんD・I・Y),Rin chan cookie no himitsu,
輪典 バベルハイムの商人,りんてん ばべるはいむのしょうにん,Rinten Babelheim no Shounin
輪道 -RINDO-,りんどう,RINDO
凛とチア,りんとちあ,Rin And Imposing Cheer
リンドバーグ,Lindbergh,
輪廻のラグランジェ,りんねのらぐらんじぇ,Rinne no Lagrange
輪廻のラグランジェ 〜暁月のメモリア〜,りんねのらぐらんじぇ あかときのめもりあ,Rinnne no Lagrange Akatoki no memoria
リーンの翼,りーんのつばさ,The Wings of Rean
RiN(ハロルド作石),りんはろるどさくいし,RiN
リンリンちゃん,Rinrin tyan,
凛々と咲く 八重の桜,りんりんとさく やえのさくら,Rinrintosaku Yae no Sakura
