title,title_furigana,title_en
機動戦士ガンダム0080 ポケットの中の戦争,きどうせんしがんだむ0080 ぽけっとのなかのせんそう,MOBILE SUIT GUNDAM 0080 War in the Pocket
機動戦士ガンダム0083 星屑の英雄,きどうせんしがんだむ0083 せいせつのえいゆう,Mobile Suit Gundam0083 Operation Stardust
機動戦士ガンダム0083 REBELLION,きどうせんしがんだむ0083 りべーしょん,MOBILE SUIT GUNDAM 0083 REBELLION
機動戦士ガンダム アグレッサー,きどうせんしがんだむ あぐれっさー,Mobile Suit Gundam Aggressor
機動戦士ガンダム アッガイ 〜北米横断2250マイル〜,きどうせんしがんだむ あっがい ほくべいおうだんにせんにひゃくごじゅうまいる,Mobile Suit Gundam aggai hokubei oudan 2250mile
機動戦士ガンダム ANAHEIM RECORD,きどうせんしがんだむ あなはいむれこーど,MOBILE SUIT GUNDAM ANAHEIM RECORD
機動戦士ガンダムALIVE,きどうせんしがんだむあらいぶ,Mobile Suit Gundam Alive
機動戦士ガンダムAGE クライマックスヒーロー,きどうせんしがんだむえいじ くらいまっくすひーろー,Mobile Suit Gundam AGE climactic hero
機動戦士ガンダムAGE 〜追憶のシド〜,きどうせんしがんだむえいじ ついおくのしど,Mobile Suit Gundam AGE: Memories of Sid (Tsuioku no Shido)
機動戦士ガンダムAGE トレジャースター,きどうせんしがんだむえいじ とれじゃーすたー,Mobile Suit Gundam AGE treasure star
機動戦士ガンダムAGE Final Evolution,きどうせんしがんだむえいじ ふぁいなるえぼりゅーしょん,Mobile Suit Gundam AGE Final Evolution
機動戦士ガンダム Ecole du Ciel〜天空の学校〜,きどうせんしがんだむえこーるでゅしえる てんくうのがっこう,Mobile Suit Gundam Ecole du Ciel
機動戦士ガンダムF90,きどうせんしがんだむえふ90,Mobile Suit Gundam F90
機動戦士ガンダムF91,きどうせんしがんだむえふきゅうじゅういち,Mobile Suit Gundam F91
機動戦士ガンダムMSV-R ジョニー・ライデンの帰還,きどうせんしがんだむえむえすぶいあーるじょにーらいでんのきかん,Mobile Suit Gundam MSV-R Return of Johnny Ridden
機動戦士ガンダム (岡崎優版),きどうせんしがんだむおかざきゆうばん,Mobile Suit Gundam (Yu Okazaki)
機動戦士ガンダム オペレーション:トロイ,きどうせんしがんだむ おぺれーしょんとろい,MOBILE SUIT GUNDAM OPERATION TROY
機動戦士ガンダム オレら連邦愚連隊,きどうせんしがんだむ おれられんぽうぐれんたい,Mobile Suit Gundam orera renpou gurentai
機動戦士ガンダム外伝 Gの影忍,きどうせんしがんだむがいでん じーのかげにん,Mobile Suit Gundam G's Kage-nin
機動戦士ガンダム外伝 宇宙、閃光の果てに・・・,きどうせんしがんだむがいでん そらせんこうのはてに,Mobile Suit Gundam Gaiden - Sora Senkou no Hate ni
機動戦士ガンダム外伝 ミッシングリンク,きどうせんしがんだむがいでん みっしんぐりんく,MOBILE SUIT GUNDAM SIDE STORY MISSING LINK
機動戦士ガンダム カタナ,きどうせんしがんだむ かたな,Mobile Suit Gundam: Katana
機動戦士ガンダム 逆襲のシャア,きどうせんし がんだむ ぎゃくしゅうのしゃあ,Mobile Suit Gundam Char's Counter Attack
機動戦士ガンダム 逆襲のシャア BEYOND THE TIME,きどうせんしがんだむぎゃくしゅうのしゃあびーやんどざたいむ,Mobile Suit Gundam Char's Counter Attack BEYOND THE TIME
機動戦士ガンダム 逆襲のシャア ベルトーチカ・チルドレン,きどうせんしがんだむ ぎゃくしゅうのしゃあ べるとーちかちるどれん,Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children
機動戦士ガンダム ギレン暗殺計画,きどうせんしがんだむぎれんあんさつけいかく,Mobile Suit Gundam The Gihren Assassination Plot
機動戦士ガンダム クライマックスU.C 紡がれし血統,きどうせんしがんだむ くらいまっくすゆーしー つむがれしきずな,MOBILE SUIT GUNDAM CLIMAX U.C.
機動戦士ガンダム 光芒のア・バオア・クー,きどうせんしがんだむ こうぼうのばばおあく,Kidousenshi gandamu koubou no a baoa qu
機動戦士ガンダム 黒衣の狩人,きどうせんしがんだむ こくいのかりうど,Mobile Suit Gundam Kokui no kariudo
機動戦士ガンダムさん,きどうせんしがんだむさん,Mobile Suit Gundam-san
機動戦士ガンダム サンダーボルト,きどうせんしがんだむ さんだーぼると,Mobile Suit GUNDAM Thunderbolt
機動戦士ガンダム THE ORIGIN,きどうせんしがんだむ じぃ おりじぃん,Mobile Suit Gundam the origin
機動戦士ガンダム THE ORIGIN MSD ククルス・ドアンの島,きどうせんしがんだむ じおりじん えむえすでぃー くるるすどあんのしま,Mobile Suit Gundam THE ORIGIN MSD Cucurz Doan no shima
機動戦士ガンダム ジオンの再興,きどうせんしがんだむじおんのさいこう,Mobile Suit Gundam Restore of Zion
機動戦士ガンダムC.D.A.若き彗星の肖像,きどうせんしがんだむしーでぃーえーわかきすいせいのしょうぞう,Mobile Suit Gundam: Char's Deleted Affair - Portrait of Young Comet
機動戦士ガンダムSEED,きどうせんしがんだむしーど,Mobile Suit Gundam SEED
機動戦士ガンダムSEED ASTRAY,きどうせんしがんだむしーどあすとれい,Mobile Suit Gundam SEED Astray
機動戦士ガンダムSEED ASTRAY R,きどうせんしがんだむしーどあすとれいあーる,Mobile Suit Gundam SEED Astray R
機動戦士ガンダムSEED ASTRAY 天空の皇女,きどうせんしがんだむしーどあすとれい てんくうのぷりんせす,Kidou senshi Gundam SEED ASTRAY Tenkuu no princess
機動戦士ガンダムSEED X ASTRAY,きどうせんしがんだむしーどえっくすあすとれい,Mobile Suit Gundam SEED X Astray
機動戦士ガンダムSEED キラとアスランの激闘,きどうせんしがんだむしーど きらとあすらんのげきとう,Mobile Suit Gundam SEED: -Fierce fight of Kira and Asran-
