title,title_furigana,title_en
馬鹿者のすべて,ばかもののすべて,Bakamono no Subete
バカレイドッグス,Back alley dogs,
ハガワの異常な愛情,はがわのいじょうなあいじょう,Hagawa no ijou na aijou
バキ,Baki,
バギーウィップ,Buggy Whip,
バキ外伝 創面,ばきがいでん きずづら,Baki Gaiden Kizudura
バキ外伝 拳刃,ばきがいでん けんじん,Baki Gaiden Kenjin
バキ外伝 疵面(スカーフェイス),ばきがいでんすかーふぇいす,BAKI Outsidestory Scarface
歯ぎしり球団,はぎしりきゅうだん,Hagisiri kyuudan
刃牙道,ばきどう,Bakidou
パギャル!,Pagal,
蟲〜バグ〜,ばぐ,Bug
白亜紀恐竜奇譚 竜の国のユタ,はくあききょうりゅうきたん りゅうのくにのゆた,Hakuaki Kyouryuu Kitan Ryu No Kuni No Yuta
白衣さんとロボ,はくいさんとろぼ,Hakui-san to robot
白衣の王様,はくいのおうさま,Hakuinoousama
白衣のカノジョ,はくいのかのじょ,Hakui no Kanojo
ばくおん!!,Bakuon!!,
爆音列島,ばくおんれっとう,Bakuon Rettou
バグガール。,Bug Girl,
莫逆家族,ばくぎゃくふぁみーりあ,Bakugyaku Familia
爆球連発!!スーパービーダマン,ばくきゅうれんぱつすーぱーびーだまん,Super Marble Man (Super Bidaman)
爆笑戦士!SDガンダム,ばくしょうせんし えすでぃーがんだむ,Bakushou Senshi ! SD Gundam
爆笑ベースボール!モーだメジャー!!,ばくしょうべーすぼーるもーだめじゃー,Bakushou baseball modameja
ハクション大魔王,はくしょんだいまおう,Hakushon Daimaou
BUGS バグズ -捕食者たちの夏-,ばぐず ほしょくしゃたちのなつ,BUGS
BUGS LAND (バグズランド),ばぐずらんど,BUGS LAND
爆走兄弟レッツ&ゴー!!,ばくそうきょうだいれっつあんどごー,Bakusou Kyoudai Let&amp;Go
爆走兄弟レッツ&ゴー!!MAX,ばくそうきょうだいれっつあんどごーまっくす,Bakusou Kyoudai Let&amp;Go MAX
爆走兄弟レッツ&ゴー!! Return Racers!!,ばくそうきょうだいれっつえんどごー りたーんれーさーず,Bakusou kyoudai Let's &amp; Go!! Return Racers!!
ばくだん,Bakudan,
ばくだん! 〜幕末男子〜,ばくだん ばくまつだんし,Bakudan! bakumatsu danshi
BAKUDAN(バクダン),ばくだん みやしたあきらばん,Bakudan (Akira Miyashita version)
爆釣伝説KANATA,ばくちょうでんせつ かたな,Bakucho Densetsu KATANA
HUGっと!プリキュア,はぐっとぷりきゅあ,Hugutto! Precure
爆TECH!爆丸,ばくてくばくがん,BakuTech! Bakugan
爆転シュート ベイブレード,ばくてんしゅーと べいぶれーど,Bakuten Shoot Beyblade
バクト,Bakuto,
PACT,ぱくと,PACT
ばくばくバクチごはん,Bakubaku Bakuchi Gohan,
爆発!宇宙クマさんタータ・ベア&菊千代くん,ばくはつうちゅうくまさんたーたべああんどきくちよくん,Bakuhatu! Utyuukumasan Tatabear and Kikutiyokun
ハクバノ王子サマ,はくばのおうじさま,Hakuba no ouji sama
白馬のお嫁さん,はくばのおよめさん,Hakuba No Oyomesan
爆風三国志 我王の乱,ばくふうさんごくし がおうのらん,BAKUFUH SANGOKUSHI GAOHNORAN
爆風ドッジ,ばくふうどっじ,Bomb Blast Dodge
白兵武者,はくへいむしゃ,HAKUHEIMUSHA
白暮のクロニクル,はくぼのくろにくる,Hakubo no Chronicle
幕末異聞録 コードギアス 反逆のルルーシュ,ばくまついぶんろく こーどぎあす はんぎゃくのるるーしゅ,Bakumatsu Ibunroku CODE GEASS - Lelouch of the Rebellion -
幕末紅蓮隊,ばくまつぐれんたい,Bakumatsu gurentai
幕末双雷伝,ばくまつそうらいでん,Bakumatsu Souraiden
幕末覇王伝カオル,ばくまつはおうでんかおる,Bakumatsu haoh den Kaoru
幕末風来伝 斬郎太,ばくまつふうらいでん ざんろうた,ZANROUTA
幕末平成KID 新撰組妖奇譚,ばくまつへいせいきっどしんせんぐみようきたん,Bakumatsuheiseikidshinsengumiyokitan
バクマン。,BakuMan.,
薄命少女,はくめいしょうじょ,Hakumei Shoujo
ハクメイとミコチ,Hakumei and Mikochi,
ばくめし!,Bakumeshi,
はぐヤン!とんじる,HAGUYAN!TONJIRU,
パクリコン,Pakurikon,
白竜,はくりゅう,Hakuryuu
白竜LEGEND,はくりゅうれじぇんど,Hakuryuu LEGEND
はぐれアイドル地獄変,はぐれあいどるじごくへん,Hagure aidoru Jigokuhen
爆麗音,ばくれおん,BAKUREON
浮浪雲,はぐれぐも,Haguregumo
爆烈!かんふー娘,ばくれつ かんふーむすめ,Bakuretsu! Kung Fu Musume
爆裂機甲天使クロスレンジャー,ばくれつきこうてんしくろすれんじゃー,Bakuretsu kikou tenshi Cross ranger
爆裂天使〜Angel's Adolescence〜,ばくれつてんしえんじぇずるあどれさんす,Bakuretsu Tenshi Angel's Adolescence
爆れつハンター,ばくれつはんた,Sorcerer Hunters
バケガミ―化神―,ばけがみ,Bakegami
妖逆門(ばけぎゃもん),ばけぎゃもん,Bakegyamon
バケツでごはん,Baketsu De Gohan,
化け猫あんずちゃん,ばけねこあんずちゃん,Bakeneko Anzu chan
化けの皮,ばけのかわ,Bake no kawa
ばけばけ森の妖稚園,ばけばけもりのようちえん,Bakebake mori no youchien
化物語,ばけものがたり,Bakemonogatar
バケモノの子,ばけもののこ,Bakemono no ko
バケルくん,Bakeru kun,
派遣社員 松島喜久治,はけんしゃいんまつしまきくじ,Haken shain Matsushima Kikuji
派遣戦士 山田のり子,はけんせんし やまだのりこ,Noriko Yamada ( Haken Senshi Yamada Noriko )
派遣です!,はけんです,Haken desu!
箱入りドロップス,はこいりどろっぷす,Hakoiri Drops
はこいり良品,はこいりりょうひん,Hakoiri Ryohin
ハコヅメ 〜交番女子の逆襲〜,はこづめ こうばんじょしのぎゃくしゅう,Hako zume Kouban Joshi No Gyakusyuu
バーコードファイター,Barcode Fighter,
箱庭のソレイユ,はこにわのそれいゆ,Hakoniwa no Soleil
箱庭の令嬢探偵,はこにわのふろいらいん,Hakoniwa no Fraulein
箱庭ひなたぼっこ,はこにわひなたぼっこ,Hakoniwa hinatabokko
方舟,はこぶね,Noah's ark
はこぶね白書,はこぶねはくしょ,HAKOBUNE HAKUSHO
パーコレイション,Percolation,
羽衣ミシン,はごろもみしん,Hagoromo Mishin
バーサス魚紳さん! 釣りキチ三平 外伝,ばーさうすぎょしんさんつりきちさんぺいがいでん,Versus Gyoshinsan
バーサスアース,VS EARTH,
VS騎士ラムネ&40炎,ばーさすないとらむねあんどふぉーてぃーふぁいあー,VS Knight Lamune &amp; 40 Fire
ハザマノウタ,Hazama no uta,
BASARA(バサラ),ばさら,BASARA
パサラちゃん,PASARA CHAN,
破三国志,はさんごくし,HASANGOKUSHI
ぱじ,PAJI,
はじおつ。,Hajiotsu,
はじけて!ザック,Hajikete ZAKKU,
はしっこアンサンブル,Hasikko Ensemble,
はしっこの恋,はしっこのこい,Hashikko no koi
走って!RUN♪,はしって るん,Run!Run
バジーノイズ,BUZZY NOISE,
はじまりのにいな,Hajimarino Niina,
はじまりのはる,Hajimari no haru,
はじマン チャレンジ!はじめてのマンガ,Hajiman: Chalenge! Hajimete no Manga,
はじめアルゴリズム,Hajime algorithm,
はじめ×くろす,はじめくろす,Hajime Cross
はじめちゃんが一番!,はじめちゃんがいちばん,Hajime-chan ga ichiban
はじめてだってば!,Hajimetedatteba!,
はじめてのあく,My First Mr.Akuno (Hajimete no Aku),
はじめてのお泊まり 水瀬るるう短編集,はじめてのおとまり みなせるるうたんぺんしゅう,Hajimete no otomari Minase Ruruu tanpenshuu
はじめてのギャル,Hajimete no gal,
はじめての甲子園,はじめてのこうしえん,Hajimete no Koushien
はじめの一歩,はじめのいっぽ,Hajime no Ippo
パジャマな彼女。,ぱじゃまなかのじょ,Pajama na Kanojo.
パジャママン,Pajama Man,
芭蕉,ばしょう,Basho
VERSION,ばーじょん,VERSION
バジリスク〜桜花忍法帖〜,ばじりすく おうかにんぽうちょう,Basilisk Ouka Ninpouchou
バジリスク - 甲賀忍法帖 -,ばじりすくこうがにんぽうちょう,Basilisk Kouga Ninpoutyou
バジル氏の優雅な生活,ばじるしのゆうがなせいかつ,Basil's graceful life
はしれ走(かける),はしれかける,HASIREKAKERU
走れガバチョ!,はしれがばちょ,"Run,Gabacho!"
ヴァージン☆Eyes,ばーじんあい,Virgin Eye's
ヴァージンハウス,Virgin house,
BUSTER KEEL!,ばすたーきーる,Basutarkiiru
Bastard!!暗黒の破壊神 (バスタード!!),ばすたーどあんこくのはかいしん,Ankokuno Hakaishin Bastard!!
