title,title_furigana,title_en
ラッキーボーイ,Lucky boy,
ラッキーマイン,The Lucky Mine,
辣韮の皮,らっきょうのかわ,Rakkyonokawa
RACK-13係の残酷器械-,らっく じゅうさんけいのざんこくきかい,Rack
Luck Stealer,らっくすてぃーらー,Luck Stealer
ラッコ11号,らっこじゅういちごう,Rakko 11 gou
Lassie(ラッシー),らっしー,Lassie
RASH!!,らっしゅ,RASH
RATMAN,らっとまん,RATMAN
ラッパーに噛まれたらラッパーになる漫画,らっぱーにかまれたららっぱーになるまんが,Do rapper bites and becomes a rapper
乱飛乱外(らっぴらんがい),らっぴらんがい,RappiRangai
ラディカル・ホスピタル,Radical Hospital,
ラヴァーズ・キス,LOVERS' KISS,
ラヴァーズ・ハイ,Lovers High,
ラビアンエクスタス,Labian Extase,
ラビダビスター!,Lovidabistar,
らびちゃん,Rabi tyan,
ラビット・ハンティング,RABBIT HUNTING,
ラビパパ,Rabi-Papa,
LOVe(ラブ),らぶ,LOVe
ラフ,Rough [Adachi Mitsuru],
ラブアレルゲン,Love Allergen,
Love&Peace〜清野とおるのフツウの日々〜,らぶあんどぴーす せいのとおるのふつうのひび,Love and Peace Toru Seino's normal days
ラブ&ファイヤー,らぶあんどふぁいやー,Love&amp;Fire
LOVE CUBIC,らぶきゅーびっく,Love Cubic
ラヴクラフト傑作集,らぶくらふとけっさくしゅう,Collection of Lovecraft masterpieces
LOVE GOD,らぶごっど,Love god
ラブ★コン,らぶこん,Love Com
ラブ侍ユイカ,らぶさむらいゆいか,Love Samurai Yuika
らぶシミュレーション,らぶしみゅれーしょん,Love Simulation
ラブ・シンクロイド,Love Synchroid,
ラブセレブ,Raveserebu,
LOVE SO LIFE,らぶそーらいふ,LOVE SO LIFE
ラフダイヤモンド まんが学校にようこそ,らふだいやもんど まんががっこうへようこそ,Rafu Daiyamondo Manga Gakkou He Youkoso
らぶ・ちょっぷ!,Love tyope,
ラ・プティット・ファデット,La Petite Fadette,
RaPuTEKI,らぷてき,RaPuTEKI
ラブデス。〜短期集中連載集〜,らぶです,Love Death
ラブデスター,Love deathter,
ラヴ・バズ,LOVE BUZZ,
ラブぱに,Love pani,
ラブひな,Love Hina,
ラブホの上野さん,らぶほのうえのさん,LOVE CONCIERGE
LOVE ME DO,らぶみーどぅ,Love me do
ラブモード,Love Mode,
ラブモンスター,Love monstar,
ラブやん,LOVE YAN,
ラブライブ!,Love Live!,
ラブライブ!サンシャイン!!,Lovelive! sunshine!!,
ラブライブ! School idol diary,らぶらいぶ すくーるあいどるだいありー,Love Live! School idol diary
ラブライブ! School idol diary セカンドシーズン,らぶらいぶ すくーるあいどるだいありー せかんどしーずん,Love Live! School idol diary 2nd season
ラブラック,Love luck,
ラブラッシュ!,Loverush!,
ラブラブYOUターン,らぶらぶゆーたーん,LOVE LOVE YOU TURN
恋愛ラボ,らぶらぼ,Love Lab
LOVELESS,らぶれす,LOVELESS
ラブロマ,Love Loma,
研究所ライフ(ラボライフ),らぼらいふ,Labo life
ら〜マニア,らーまにあ,Ra-mania
ラーメン食いてぇ,らーめんくいてぇ,Raamenn Kuitee
らーめん才遊記,らーめんさいゆうき,Ramen Saiyuuki
ラーメン大好き小泉さん,らーめんだいすきこいずみさん,Ramen daisuki Koizumi-san
ラーメン発見伝,らーめんはっけんでん,The legend of finding noodle
ラララ,Lalala,
ラララライブ,La La La Live,
ラルシド!,Rarusid,
RUN!!,らん,RUN!!
ランウェイで笑って,らんうぇいでわらって,Runway de waratte
ランウェイを☆プロデュース!!,らんうぇいをぷろでゅーす,Runway o produce
ランカーズ・ハイ,Rankers High,
ランキンガール,Ranking girl,
ラン様の放課後遊戯,らんさまのほうかごゆうぎ,Ran-sama no houkago yuugi
RANJIN 三国志呂布異聞,らんじんさんごくしりょふいぶん,RANJIN Sangokushi Ryofu Ibun
ランダム・ウォーク,Randam Walk,
ランディーズ,Randies,
RUN day BURST,らんでいばーすと,RUN day BURST
乱と灰色の世界,らんとはいいろのせかい,Gray and Wonder Around Her(Ran to haiiro no sekai)
Landreaall(ランドリオール),らんどりおーる,Landreaall
Runner(ランナー),らんなー,Runner
ランナーズ・ハイ !,Runners High!,
RUNNING CHASER(ランニング チェイサー),らんにんぐちぇいさー,RUNNING CHASER
鸞鳳,らんほう,LUNFOR
らんぽう,RANPOU,
LAMPO-THE HYPERSONIC BOY-,らんぽざはいぱーそにっくぼーい,LAMPO-THE HYPERSONIC BOY-
ランボーセンセー,The Tacher RAMBO,
らんま1/2,らんまにぶんのいち,Rannma Nibunnnoichi
乱漫,らんまん,Ranman
