title,title_furigana,title_en
秘拳伝キラ,ひけんでんきら,Hiken-den Kira
秘拳伝説 獅子王伝,ひけんでんせつ ししおうでん,King of Leo
ピコピコ少年,ぴこぴこしょうねん,Pico-Pico Boy
ピコピコ少年 SUPER,ぴこぴこしょうねんすーぱー,Pikopiko Shounen
ピコピコ少年TURBO,ぴこぴこしょうねんたーぼ,PICO PICO BOY TURBO
非婚家族,ひこんかぞく,Hikon Kazoku
B.C.アダム,びーしーあだむ,BC ADAM
ビジュアル探偵明智クン!!,びじゅあるたんていあけちくん,Visual tantei Akechi-kun
美術館のなかのひとたち,びじゅつかんのなかのひとたち,Bijutsukan no naka no hitotachi
美少女いんぱら!,びしょうじょいんぱら,Bishoujo In Para!
美少女戦士セーラームーン,びしょうじょせんしせーらーむーん,Sailor Moon
微笑によろしく,びしょうによろしく,Bishou ni yoroshiku
美少年探偵団,びしょうねんたんていだん,Bishounen tanteidan
美少年ネス,びしょうねんねす,Bishounen Ness
美女が野獣,びじょがやじゅう,Beauty is the Beast
B-SHOCK!,びーしょっく,B-SHOCK!
ビショップの輪,びしょっぷのわ,Ring of Bishop
美女で野獣,びじょでやじゅう,Beauty The Beast
秘書の仕事じゃありません,ひしょのしごとじゃありません,Hisho no shigoto ja arimasen
Vision NOA,びじょん のあ,Vision NOA
美人物語,びじんものがたり,Bijin Monogatari
piece,ぴーす,Piece
翡翠峡奇譚,ひすいききょうたん,Hisui Kikyotan
ピース オブ ケイク,Piece of cake,
BUS GAMER THE PILOT EDITION,びずげーまーざぱいろっとえでぃしょん,BUS GAMER THE PILOT EDITION
BEASTARS(ビースターズ),びーすたーず,BEASTARS
ビースト&ビースト 浅野りん短編集,びーすとあんどぼーすと あさのりんたんぺんしゅう,Beast and beast Rin Asano anthology
ビーストウォーズII,びーすとうぉーずせかんど,BEASTWARS 2
ビーストウォーズネオ 超生命体トランスフォーマー,びーすとうぉーずねお ちょうせいめいたいとらんすふぉーまー,BEASTWARS NEO CHOU-SEIMEITAI TRANSFORMER
ビーストウォーズメタルス 超生命体トランスフォーマー,びーすとうぉーずめたるす ちょうせいめいたいとらんすふぉーまー,ChouseimeitaiTRASFORMER BeastWarsMETALS
BEAST COMPLEX,びーすとこんぷれっくす,BEAST COMPLEX
ビーストホイラー,Beast wheeler,
ヒストリエ,Historie,
ピース*2,ぴーすぴーす,Peace Peace
PEACE MAKER(ピースメーカー),ぴーすめーかー,PEACE MAKER
PEACE MAKER鐵 (ピースメーカーくろがね),ぴーすめーかーくろがね,PEACE MAKER KUROGANE
秘石戦記ストーンバスター,ひせきせんきすとーんばすたー,Hiseki senki stone buster
非接触系ラバーズ,ひせっしょくけいらばーず,Hisesshokukei Lovers
肥前屋十兵衛,ひぜんやじゅうべい,Hizenya Jubei
密・リターンズ!,ひそかりたーんず,Hisoka returns
美大道,びだいみち,Bidai michi
VITAセクスアリス,びーたせくすありす,VITA SEXUALIS
B‐DASH,びーだっしゅ,B-DASH
BE DASH!,びーだっしゅ たなはしなもしろ,Be Dash!
ぴたテン,Pitaten,
BITTER VIRGIN,びたーばーじん,BITTER VIRGIN
ひだまりスケッチ,Hidamari Sketch,
陽だまりの樹,ひだまりのき,Hidamari No Ki
陽だまりのピニュ,ひだまりのぴにゅ,Hidamari no Pinyu
緋弾のアリアAA,ひだんのありあだぶるえー,Aria the Scarlet Ammo Double A
