title,title_furigana,title_en
ソニックウィザード,Sonic Wizard,
ソニン物語 - ザッピィPRESENTS,そにんものがたりざっぴぃぷれぜんつ,SONIN STORY ZAPPY PRESENTS
その「おこだわり」、俺にもくれよ!!,そのおこだわりおれにもくれよ,"Sono ''Okodawari'', Ore nimo kureyo!!"
その男、ワガママにつき,そのおとこわがままにつき,The man is selfish.
その他くん,そのたくん,Sonotakun
その時歴史が動いた,そのときれきしがうごいた,"At that time, the history moved"
その名は101,そのなはわんぜろわん,Sono naha One Zero One
その日、宇宙は地球を知る,そのひ わたしはこいをしる,Sono Hi Watashi ha Koi wo shiru
その向こうの向こう側,そのむこうのむこうがわ,The other side of the other side
その娘、武蔵,そのむすめむさし,Sono Musume Musashi
その者。のちに…,そのもののちに,Sonomono nochini
そばっかす!,Sobakkasu!,
そばもん ニッポン蕎麦行脚,そばもんにっぽんそばあんぎゃ,Sobamon Nippon soba angya
そば屋 幻庵,そばや げんあん,Soba ya Gen'an
ソフィー・ローズと荊棘の人形師,そふぃーろーずといばらのうぉーろっく,Sophie Rose to Ibara no Warlock
そふてにっ,Sofutenit,
ソフトメタルヴァンパイア,Soft metal vampire,
So What?(ソー・ホワット?),そーほわっと,So What?
ソマリと森の神様,そまりともりのかみさま,Somali and the Forest Spirit
ソムリエ,Sommelier,
ソムリエール,Sommeliere,
そやかてええやん,Soyakate eeyan,
曽山一寿短編集 そやまつり,そやまかずとしたんぺんしゅう そやまつり,Soyamatsuri
そよ風さん,そよかぜさん,Soyokaze san
そよ風そよさん,そよかぜそよさん,Soyokaze soyo-san
そよ風テイクオフ,そよかぜていくおふ,Soyokaze take off
sola,そら,SOLA
空色海岸,そらいろかいがん,Sky biue of sea side
空色スクエア。,そらいろすくえあ,Sorairo square
空色のメロディ,そらいろのめろでぃ,Sorairo No Melody (A Blue Melody)
空色みーな,そらいろみーな,Sorairo Mina
空が灰色だから(空が灰色だから手をはなそう),そらがはいいろだから そらがはいいろだからてをはなそう,Sora ga haiiro dakara te o hanasou
空からこぼれた物語,そらからこぼれたすとーりー,The story that overflowed the sky
―そら―,そら しらゆきしおん,Sora
空男,そらだん,Soradan
空飛べ!プッチ,そらとべぷっち,"Fly in the air,Pucchi!"
空になる青,そらになるあお,Sora ni naru ao
ソラニン,Soranin,
空の謳,そらのうた,SORA no UTA
そらのおとしもの,Sora no otoshimono,
そらのおとしものPICO,そらのおとしものぴこ,Sora no Otosimono Pico
空のキャンバス,そらのきゃんばす,Sora no canvas
空の休息,そらのきゅうそく,Sora no kyuusoku
空の下屋根の中,そらのしたやねのなか,Sora no shita Yane no naka
空の食欲魔人(シリーズ),そらのしょくよくまじんしりーず,Sora no shokuyoku majin siri-zu
空の昴,そらのすばる,Sora no subaru
空の成分,そらのせいぶん,Sora no seibun
そらのひとひら,Sora no Hitohira,
空の風景,そらのふうけい,Sora no huukei
天のプラタナス,そらのぷらたなす,Sora No Platanus
宙のまにまに,そらのまにまに,Sora no Manimani
天体のメソッド,そらのめそっど,Sora no method
天は赤い河のほとり,そらはあかいかわのほとり,Anatolia Story (sora ha akai kawa no hotori)
ソラミちゃんの唄,そらみちゃんのうた,Sorami-chan no uta
宇宙ヨメ(そらヨメ),そらよめ,Sora Yome
天より高く,そらよりたかく,Higher than Sky
宇宙をかける少女R,そらをかけるしょうじょあーる,Sora o kakeru shoujo R
宇宙をかける少女D,そらをかけるしょうじょでぃー,Sora kake Girl D
宇宙を駆けるよだか,そらをかけるよだか,Sora o kakeru yodaka
そりゃないぜBABY,そりゃないぜべいびー,Sorya naize baby!
葬流者,そーるじゃー,SOULDIER
それ行け!三蔵法師,それいけさんぞうほうし,Soreike Sanzouhoushi
それいけ!!ちびっこライオンズ,Letgo Littlelions,
それいけ!!ボンバーマンジェッターズ,Let's go Bomberman jetters,
それいけ!桃太郎電鉄,それいけももたろうでんてつ,Soreike Momotaro Dentetsu
それすらも日々の果て,それすらもひびのはて,Soresura mo hibi no hate
それでも僕は君が好き,それでもぼくはきみがすき,Soredemo boku wa kimi ga suki
それでも僕らはヤってない,それでもぼくらはやってない,Soredemo bokura ha yattenai
それでも町は廻っている,それでもまちはまわっている,Soredemo machi ha mawatte iru
ソレミテ〜それでも霊が見てみたい〜,それみて それでもれいがみてみたい,Soremite
それゆけ!ゲームボーイ探検隊,それゆけげーむぼーいたんけんたい,Let's Go! GAME BOY ADVENTURERS
それゆけ!!ぼくらの団長ちゃん,それゆけぼくらのだんちょうちゃん,Let's go !!Our DANCHOU CHAN
それゆけ漁太,それゆけりょうた,Soreyuke Ryota
そろそろ家の話をしましょう。,そろそろいえのはなしをしましょう,It's About Time To Talk About Your House
ソワカ,Sowaka,
そわそわDrawing,そわそわどろーいんぐ,Sowasowa drawing
そんな2人のMyホーム,そんなふたりのまいほーむ,Sonna Futari No My Home
そんな未来はウソである,そんなみらいはうそである,That Future is a Lie (Sonna Mirai ha Uso de aru)
そんな奴ァいねえ!!,そんなやつぁいねえ,Sonna yatsua inee!
そんなんじゃねえよ,Sonnanzya neeyo,
ゾンビが出たので学校休み。,ぞんびがでたのでがっこうやすみ,Zombie ga deta node gakkou yasumi
ゾンビッチはビッチに含まれますか?,ぞんびっちはびっちにふくまれますか,Zonbitch ha Zonbie ni fukumaremasuka?
ゾンビの星,ぞんびのほし,Zombie no hoshi
ゾンビパウダー,Zombie Powder,
ゾンビ屋れい子,ぞんびやれいこ,Reiko the Zombie Shop (Zombie ya Reiko)
ZOMBIE-LOAN〜ゾンビローン,ぞんびろーん,Zombie Loan
